source,target,support,confidence,coverage,lift,hyper_lift,weight
{tequila},{lime_juice},0.011312992800822763,0.515625,0.021940349674322936,3.6595574817518246,2.0625,0.723918839226699
{milk_fat},{milk},0.016112444292080905,1,0.016112444292080905,8.733532934131736,4.2727272727272725,1.452252328911688
{milk},{milk_fat},0.016112444292080905,0.1407185628742515,0.11450119986287281,8.733532934131736,4.2727272727272725,1.452252328911688
{buttermilk},{egg},0.013369900582790539,0.9285714285714286,0.014398354473774426,5.218965042664465,2.7857142857142856,1.0245043165143877
{buttermilk},{cream},0.010970174837161468,0.7619047619047619,0.014398354473774428,4.2332879818594105,2.2857142857142856,0.8266785731844679
{celery_oil},{vinegar},0.013712718546451834,1,0.013712718546451834,7.347607052896725,3.6363636363636362,1.2909841813155658
{vinegar},{celery_oil},0.013712718546451834,0.10075566750629723,0.13609873157353444,7.347607052896725,3.6363636363636362,1.2909841813155658
{celery_oil},{corn},0.013712718546451834,1,0.013712718546451834,3.360599078341014,2.1052631578947367,0.7444404749474958
{cider},{vinegar},0.016798080219403495,0.98,0.01714089818306479,7.20065491183879,3.769230769230769,1.32687094064909
{vinegar},{cider},0.016798080219403495,0.12342569269521411,0.13609873157353444,7.200654911838791,3.769230769230769,1.32687094064909
{yeast},{milk},0.011998628728145356,0.5555555555555556,0.02159753171066164,4.851962741184298,2.6923076923076925,0.990398704027877
{milk},{yeast},0.011998628728145356,0.10479041916167664,0.11450119986287283,4.851962741184298,2.6923076923076925,0.990398704027877
{yeast},{egg},0.01405553651011313,0.6507936507936508,0.021597531710661637,3.657736183747745,2.1578947368421053,0.7691330875378674
{yeast},{wheat},0.02159753171066164,1,0.02159753171066164,4.41969696969697,2.8636363636363638,1.052092273033217
{white_wine},{vinegar},0.013369900582790539,0.6724137931034483,0.01988344189235516,4.940632328671936,2.7857142857142856,1.0245043165143877
{white_wine},{olive_oil},0.012684264655467946,0.6379310344827587,0.019883441892355157,3.3468432150831062,2.0555555555555554,0.7205461547480596
{fish},{olive_oil},0.011655810764484058,0.5151515151515151,0.022625985601645526,2.7026923915413126,1.7,0.5306282510621704
{red_wine},{vinegar},0.01748371614672609,0.75,0.02331162152896812,5.510705289672544,3.1875,1.1592369104845446
{vinegar},{red_wine},0.01748371614672609,0.12846347607052896,0.13609873157353447,5.510705289672544,3.1875,1.1592369104845446
{red_wine},{olive_oil},0.010970174837161468,0.47058823529411764,0.02331162152896812,2.4688954718578078,1.5238095238095237,0.4212134650763035
{cocoa},{vanilla},0.01062735687350017,0.3924050632911392,0.027082619129242372,9.953439735828288,3.875,1.3545456628053103
{vanilla},{cocoa},0.01062735687350017,0.26956521739130435,0.03942406582104902,9.953439735828288,3.875,1.3545456628053103
{cocoa},{cinnamon},0.015426808364758314,0.569620253164557,0.027082619129242372,9.129572958686882,4.5,1.5040773967762742
{cinnamon},{cocoa},0.015426808364758314,0.24725274725274726,0.06239286938635585,9.129572958686882,4.5,1.5040773967762742
{cocoa},{milk},0.012341446691806651,0.45569620253164556,0.027082619129242372,3.9798377927688926,2.25,0.8109302162163288
{milk},{cocoa},0.012341446691806651,0.10778443113772455,0.11450119986287281,3.9798377927688926,2.25,0.8109302162163288
{cocoa},{butter},0.013369900582790539,0.4936708860759494,0.027082619129242372,3.4616297468354436,2.0526315789473686,0.719122666963206
{cocoa},{egg},0.014741172437435722,0.5443037974683544,0.027082619129242372,3.0592180678520036,1.9545454545454546,0.6701576623352465
{vanilla},{cinnamon},0.017826534110387385,0.45217391304347826,0.03942406582104902,7.2472049689441,3.7142857142857144,1.3121863889661687
{cinnamon},{vanilla},0.017826534110387385,0.2857142857142857,0.06239286938635585,7.247204968944098,3.7142857142857144,1.3121863889661687
{vanilla},{milk},0.024340075419952006,0.6173913043478261,0.03942406582104903,5.39200728976829,3.380952380952381,1.2181574393178924
{milk},{vanilla},0.024340075419952006,0.2125748502994012,0.11450119986287281,5.39200728976829,3.380952380952381,1.2181574393178924
{vanilla},{butter},0.02125471374700034,0.5391304347826087,0.03942406582104902,3.780392976588629,2.48,0.9082585601768908
{butter},{vanilla},0.02125471374700034,0.14903846153846154,0.14261227288309908,3.780392976588629,2.48,0.9082585601768908
{vanilla},{egg},0.026054165238258483,0.6608695652173913,0.03942406582104902,3.714367093909692,2.533333333333333,0.9295359586241757
{egg},{vanilla},0.026054165238258483,0.1464354527938343,0.17792252314021254,3.714367093909692,2.533333333333333,0.9295359586241757
{vanilla},{wheat},0.02056907781967775,0.5217391304347826,0.03942406582104902,2.3059288537549407,1.6216216216216217,0.4834266495778763
{pork_sausage},{bell_pepper},0.016112444292080905,0.5875,0.027425437092903668,2.837313741721854,1.88,0.6312717768418578
{coriander},{cumin},0.017826534110387385,0.6265060240963856,0.028453890983887557,2.193899246445566,1.5757575757575757,0.4547361571149471
{tamarind},{cane_molasses},0.023311621528968117,0.9066666666666666,0.025711347274597188,15.199693486590037,6.8,1.916922612182061
{cane_molasses},{tamarind},0.023311621528968117,0.39080459770114945,0.05965032567706547,15.199693486590041,6.8,1.916922612182061
{tamarind},{vinegar},0.023654439492629412,0.92,0.025711347274597188,6.7597984886649884,4.0588235294117645,1.4008931605410433
{vinegar},{tamarind},0.023654439492629412,0.17380352644836272,0.13609873157353444,6.759798488664988,4.0588235294117645,1.4008931605410433
{bay},{oregano},0.012341446691806651,0.45569620253164556,0.027082619129242372,2.512789835131966,1.565217391304348,0.44802472252696035
{bay},{black_pepper},0.01576962632841961,0.5822784810126582,0.027082619129242372,2.948795710267229,1.9166666666666667,0.6505875661411494
{basil},{oregano},0.013712718546451834,0.4878048780487805,0.02811107302022626,2.6898427774447877,1.7391304347826086,0.5533852381847866
{mushroom},{chicken},0.012684264655467946,0.3425925925925926,0.03702434007541995,2.379387125220459,1.5416666666666667,0.4328640822962789
{mustard},{vinegar},0.018512170037709975,0.5510204081632653,0.033596160438807,4.0486814373104405,2.4545454545454546,0.8979415932059586
